   ,STRING,name,,"Name of the printer"
   ,STRING,option_name,,"Option name"
   ,STRING,option_value,,"Option value"
TATTR,
------------------------------
TABLE,cups_jobs
DESC,Returns all completed print jobs from cups.
   ,STRING,title,,"Title of the printed job"
   ,STRING,destination,,"The printer the job was sent to"
   ,STRING,user,,"The user who printed the job"
   ,STRING,format,,"The format of the print job"
   ,INT,size,,"The size of the print job"
   ,INT,completed_time,,"When the job completed printing"
   ,INT,processing_time,,"How long the job took to process"
   ,INT,creation_time,,"When the print request was initiated"
TATTR,
------------------------------
TABLE,curl
DESC,Perform an http request and return stats about it.
   ,STRING,url,INDEX | REQUIRED,"The url for the request"
   ,STRING,method,,"The HTTP method for the request"
   ,STRING,user_agent,,"The user-agent string to use for the request"
   ,INT,response_code,,"The HTTP status code for the response"
   ,INT64,round_trip_time,,"Time taken to complete the request"
   ,INT64,bytes,,"Number of bytes in the response"
   ,STRING,result,,"The HTTP response body"
TATTR,
------------------------------
TABLE,curl_certificate
DESC,Inspect TLS certificates by connecting to input hostnames.
   ,STRING,hostname,REQUIRED,"Hostname (domain[:port]) to CURL"
   ,STRING,common_name,,"Common name of company issued to"
   ,STRING,organization,,"Organization issued to"
   ,STRING,organization_unit,,"Organization unit issued to"
   ,STRING,serial_number,,"Certificate serial number"
   ,STRING,issuer_common_name,,"Issuer common name"
   ,STRING,issuer_organization,,"Issuer organization"
   ,STRING,issuer_organization_unit,,"Issuer organization unit"
   ,STRING,valid_from,,"Period of validity start date"
   ,STRING,valid_to,,"Period of validity end date"
   ,STRING,sha256_fingerprint,,"SHA-256 fingerprint"
   ,STRING,sha1_fingerprint,,"SHA1 fingerprint"
TATTR,
------------------------------
TABLE,deb_packages
DESC,The installed DEB package database.
   ,STRING,name,,"Package name"
   ,STRING,version,,"Package version"
   ,STRING,source,,"Package source"
   ,INT64,size,,"Package size in bytes"
   ,STRING,arch,,"Package architecture"
   ,STRING,revision,,"Package revision"
TATTR,CACHEABLE,
------------------------------
TABLE,device_file
DESC,Similar to the file table, but use TSK and allow block address access.
   ,STRING,device,INDEX | REQUIRED,"Absolute file path to device node"
   ,STRING,partition,INDEX | REQUIRED,"A partition number"
   ,STRING,path,ADDITIONAL,"A logical path within the device node"
   ,STRING,filename,,"Name portion of file path"
   ,INT64,inode,INDEX,"Filesystem inode number"
   ,INT64,uid,,"Owning user ID"
   ,INT64,gid,,"Owning group ID"
   ,STRING,mode,,"Permission bits"
   ,INT64,size,,"Size of file in bytes"
   ,INT,block_size,,"Block size of filesystem"
   ,INT64,atime,,"Last access time"
   ,INT64,mtime,,"Last modification time"
   ,INT64,ctime,,"Creation time"
   ,INT,hard_links,,"Number of hard links"
   ,STRING,type,,"File status"
TATTR,
------------------------------
TABLE,device_firmware
DESC,A best-effort list of discovered firmware versions.
   ,STRING,type,,"Type of device"
   ,STRING,device,INDEX,"The device name"
   ,STRING,version,,"Firmware version"
TATTR,
------------------------------
TABLE,device_hash
DESC,Similar to the hash table, but use TSK and allow block address access.
   ,STRING,device,REQUIRED,"Absolute file path to device node"
   ,STRING,partition,REQUIRED,"A partition number"
   ,INT64,inode,REQUIRED,"Filesystem inode number"
   ,STRING,md5,,"MD5 hash of provided inode data"
   ,STRING,sha1,,"SHA1 hash of provided inode data"
   ,STRING,sha256,,"SHA256 hash of provided inode data"
TATTR,
------------------------------
TABLE,device_partitions
DESC,Use TSK to enumerate details about partitions on a disk device.
   ,STRING,device,REQUIRED,"Absolute file path to device node"
   ,INT,partition,,"A partition number or description"
   ,STRING,label,,""
   ,STRING,type,,""
   ,INT64,offset,,""
   ,INT64,blocks_size,,"Byte size of each block"
   ,INT64,blocks,,"Number of blocks"
   ,INT64,inodes,,"Number of meta nodes"
   ,INT,flags,,""
TATTR,
------------------------------
TABLE,disk_encryption
DESC,Disk encryption status and information.
   ,STRING,name,,"Disk name"
   ,STRING,uuid,,"Disk Universally Unique Identifier"
   ,INT,encrypted,,"1 If encrypted: true (disk is encrypted), else 0"
   ,STRING,type,,"Description of cipher type and mode if available"
